1 3.25 4 3.25 2.75 3.75 2.6666666667 0.5454545455 0.3636363636 0.3
3 1.75 2.75 3 2 1.25 1.3333333333 0.5454545455 0.5454545455 0.3
4 3.25 4 3.75 1.25 1 1 0.8181818182 0.9090909091 0.7
5 2.75 3 3 1.25 1.5 2.3333333333 0.4545454545 0.2727272727 0.3
6 3.25 3.6666666667 4.25 2 1.75 2.3333333333 0.3636363636 0.4545454545 0.3
7 2.75 2 2 2.75 2 2 0.8181818182 0.4545454545 0.3
8 3 3 2.75 2 1.75 2.6666666667 0.7272727273 0.9 0.5
9 3.25 4 2.75 3.25 3.25 3 0.2727272727 0.4545454545 0.5
10 3.5 4 4 2 1.75 1.3333333333 0.8 0.6 0.5
11 2.75 3.25 3.5 1.75 1.5 2 0.8181818182 0.9090909091 0.6
12 3.25 3.5 3.5 1.5 1.5 1.6666666667 0.6363636364 0.5454545455 0.5
13 2 1.5 2 2.25 2.5 3.6666666667 0.3636363636 0.6363636364 0.6
14 3.5 4 3 2.75 2.5 2.3333333333 0.5454545455 0.8181818182 0.5555555556
15 4.75 5 5 1.25 1 1.3333333333 0.8181818182 0.9090909091 0.6
16 3 4 3.75 1.5 1.25 1.6666666667 0.8 1 0.875
17 3.75 4.75 4.5 1.5 1.5 1.3333333333 0.5454545455 0.7272727273 0.6
18 3.25 3.75 3.75 1.5 1.25 1.6666666667 0.6363636364 0.8181818182 0.4
19 2.5 3.5 3 1.5 1.25 1.3333333333 0.7272727273 0.5454545455 0.7
20 4 4 4 2.25 2.6666666667 2.6666666667 0.0909090909 0.7272727273 0.7
21 2.75 3 3 1.5 1.25 1.3333333333 0.4545454545 0.7272727273 0.4
22 1.25 1.75 1.75 2.5 2 2.3333333333 0.4545454545 0.4545454545 0.5
23 3.5 3.5 3.5 1.25 1.5 1.3333333333 0.5454545455 0.8181818182 0.3
24 2.75 4.25 4 2 2.5 3.3333333333 0.8181818182 0.9090909091 0.5
25 5 5 5 1 1 1 0.4545454545 0.5454545455 0.7
27 1.5 1.75 1.5 3.5 2.5 3 0.2727272727 0.5454545455 0.3
29 2.75 3.75 2.5 1.5 1.25 1.3333333333 0.3636363636 0.3636363636 0.6666666667
30 3.5 3.75 3.5 2.75 2.75 2 0.8181818182 0.8181818182 0.5
31 3.75 3.75 4.25 2 2 1.6666666667 0.3636363636 0.5 0.3
32 4.25 4.3333333333 4 1.25 1 1.3333333333 0.5454545455 0.8181818182 0.6
33 1.75 2.5 2.25 1.25 1.25 1.3333333333 0.7272727273 0.9090909091 0.7
35 3 3.25 4 1 1.5 1.6666666667 0.2727272727 0.6363636364 0.5555555556
36 3 4 2.5 1.25 1.25 1.3333333333 0.5454545455 0.8181818182 0.6
